Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
2,KO/TKO,1,43,0,David Abbott,0,4,40%,11,0,,0,0,,2,2,0,0,4,0,1,Paul Buentello,1,9,64%,9,0,,0,0,,5,3,1,4,4,1,2.0
3,TKO - Doctor's Stoppage,1,134,0,David Abbott,0,11,42%,17,0,,0,0,84.0,11,0,0,4,7,0,1,Wesley Correira,1,13,54%,19,0,,0,0,7.0,13,0,0,3,9,1,2.0
4,Submission,1,119,0,David Abbott,0,0,,3,0,,0,0,1.0,0,0,0,0,0,0,1,Kimo Leopoldo,0,1,100%,1,1,100%,1,0,112.0,0,1,0,1,0,0,2.0
5,Submission,1,46,0,David Abbott,0,1,20%,2,0,,0,0,38.0,1,0,0,0,0,1,1,Frank Mir,0,0,0%,0,0,0%,2,0,0.0,0,0,0,0,0,0,2.0
6,KO/TKO,1,487,0,David Abbott,0,16,33%,31,1,50%,0,0,,16,0,0,7,4,5,1,Pedro Rizzo,2,24,68%,49,0,,0,0,,12,0,12,17,4,3,2.0
7,KO/TKO,1,43,1,David Abbott,0,11,68%,11,0,,0,1,,11,0,0,0,2,9,0,Hugo Duarte,0,0,,1,1,33%,0,0,,0,0,0,0,0,0,2.0
8,Decision - Unanimous,2,480,1,David Abbott,0,13,41%,69,3,75%,0,0,,13,0,0,6,0,7,0,Yoji Anjo,0,9,100%,29,0,0%,1,0,,1,1,7,8,1,0,2.0
9,Submission,1,488,0,David Abbott,1,5,22%,17,0,,0,0,,5,0,0,1,2,2,1,Maurice Smith,0,12,92%,38,0,,1,0,,7,0,5,5,1,6,2.0
10,KO/TKO,1,52,0,David Abbott,0,2,40%,2,0,0%,0,0,,0,2,0,0,2,0,1,Vitor Belfort,0,15,62%,16,1,100%,0,0,,13,2,0,1,7,7,2.0
11,Submission,1,82,0,David Abbott,0,13,46%,16,0,,0,0,,13,0,0,9,4,0,1,Don Frye,0,6,33%,6,0,,2,0,,6,0,0,5,0,1,2.0
12,KO/TKO,1,63,1,David Abbott,1,9,52%,13,1,100%,0,0,,9,0,0,1,8,0,0,Steve Nelmark,0,2,100%,2,0,,0,0,,1,1,0,1,1,0,2.0
13,KO/TKO,1,171,1,David Abbott,0,4,44%,9,0,0%,1,0,,4,0,0,1,0,3,0,Cal Worsham,0,5,71%,16,0,,0,0,,4,1,0,1,2,2,2.0
